title,description,genres
Cairo Station,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.","['drama', 'crime', 'comedy']"
Hitler: A Career,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.","['history', 'documentation', 'european']"
FTA,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.","['war', 'documentation', 'music', 'comedy']"
Alexandria… Why?,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",['drama']
The Land,"Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Then Mahmoud Bey proposes a project that would require taking part of the peasants' lands.",['drama']
Dostana,"Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.","['drama', 'comedy', 'crime', 'romance', 'action']"
Saladin the Victorious,"Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.","['action', 'drama', 'war', 'history', 'romance']"
Alibaba Aur 40 Chor,"The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.","['drama', 'romance', 'action', 'fantasy', 'family']"
The Blazing Sun,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.","['crime', 'romance', 'drama']"
Dark Waters,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.","['action', 'drama', 'romance', 'thriller']"
We Are All for the Fatherland,"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",['documentation']
Singapore,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.","['drama', 'thriller', 'crime']"
"Beirut, Oh Beirut","In the aftermath of the 1967 defeat, four young Lebanese try to figure out their places in a society whose rules seem to have changed. It proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.",['drama']
The Return of the Prodigal Son,"In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.","['music', 'drama', 'crime']"
Khoon Khoon,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.","['crime', 'thriller']"
Manoranjan,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.","['romance', 'drama', 'comedy']"
Ujala,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.","['romance', 'crime', 'drama']"
Whispers,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",['documentation']
Chadi Jawani Budhe Nu,"A small-time businessman (B.S. Sood) reaches the ""naughty forties"". Now his wife is not good enough anymore, so he decides he needs a modern up to date mistress, resulting in hilarious situations.",['romance']
Bandie,"Maharaj Brajbhan lives a wealthy lifestyle in Bharatpur, India along with his wife, Badi Rani, but have been unable to conceive for Bharatpur, and have no choice but to leave it's reigns with Brajban's widowed cousin, Vikram, and his son, Kanchan. When Vikram finds out that Badi Rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the Maharaj, and then decides to have her killed. But her killer has a change of heart and lets her live. She gives birth to a son, names him Bhola, and starts living a simple lifestyle in a Mandir with the help of it's Poojary. Years later Vikram finds out she is alive and kills her, as well the Poojary and the Poojary's son. Bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.","['drama', 'action', 'romance']"
GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","['drama', 'crime']"
Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"['war', 'drama']"
Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","['crime', 'drama', 'european']"
When Harry Met Sally...,"During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.","['comedy', 'romance', 'drama']"
A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",['horror']
Steel Magnolias,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.","['comedy', 'drama', 'romance']"
Police Academy,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!","['crime', 'comedy']"
Christine,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.","['horror', 'thriller', 'european']"
Awakenings,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.","['drama', 'european']"
National Lampoon's Christmas Vacation,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.","['comedy', 'european']"
Lean On Me,"When principal Joe Clark takes over decaying Eastside High School, he's faced with students wearing gang colors and graffiti-covered walls. Determined to do anything he must to turn the school around, he expels suspected drug dealers, padlocks doors and demands effort and results from students, staff and parents. Autocratic to a fault, this real-life educator put it all on the line.",['drama']
Eddie Murphy Raw,"Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.","['comedy', 'documentation']"
She's Gotta Have It,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.","['romance', 'comedy']"
Endless Love,"Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.","['romance', 'drama']"
Vaashi,"Ebin Mathew, a budding lawyer ambitiously joins hands with his advocate friend Madhavi Mohan, to share a new office space in order for them to start their independent careers. Their relationship gets strained when they land on opposite ends of a case.","['drama', 'thriller']"
Mobile Suit Gundam: Char's Counterattack,In UC 0093 the Federation has recovered from its defeat and has created a new anti-colonial special forces unit to deal with rebel forces: Londo Bell. Elsewhere in space Char Aznable re-appears out of self imposed hiding with a declaration that he now commands his own Neo-Zeon movementand intends to force the emigration of Earth's inhabitants to space by bringing about an apocalypse.,"['scifi', 'animation', 'action', 'drama', 'war']"
Mobile Suit Gundam II: Soldiers of Sorrow,"After managing to survive attacks by Zeon's Char Aznable and Garma Zabi, the crew of Federation warship White Base and its mobile suits must battle Zeon forces through Asia, Europe, and the Atlantic Ocean if they are to reach Earth Federation's headquarters alive. During that process many of its crewmembers must overcome their fears, losses, immaturities, and insecurities in order to survive.","['animation', 'scifi', 'action', 'drama', 'war']"
Sam Kinison: Breaking the Rules,"This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.","['comedy', 'documentation']"
Waiting for the Hearse,"Mama Cora, who is almost eighty years old, has three sons and a daughter. She lives with one of them, who has serious financial problems. The family meets one day to celebrate an anniversary meal, and that is when the problem arises: which of them will take care of her?",['comedy']
Tim Allen: Men Are Pigs,"Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.","['comedy', 'documentation']"
Mobile Suit Gundam III: Encounters in Space,"Amuro Ray and the rest of the White Base crew, now denominated the 13th Autonomous Corps, return to outer space to support the rest of the Earth Federation forces for the decisive battle against the Duchy of Zeon's forces.","['action', 'drama', 'war', 'animation', 'scifi']"
Monty Python Live at the Hollywood Bowl,"Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.","['comedy', 'documentation']"
Disco Dancer,"Anil, a street singer, is humiliated and driven out of Bombay along with his mother. However, he soon becomes a famous performer but the enemies from his past try to destroy his hard-earned career.","['drama', 'romance']"
Agneepath,"The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?","['drama', 'action', 'crime']"
Parrot Sketch Not Included: Twenty Years of Monty Python,"Steve Martin presents selected sketches from ""Monty Python's Flying Circus (1969)"". It's the well known sketches, though the parrot sketch is not included. Steve Martin has some funny comments on the Pythons.",['comedy']
Too Young The Hero,"TV movie based upon the true story of Calvin Graham, who, as a 12 year old boy, enlisted in the US Navy during WWII.","['drama', 'war']"
A Stoning in Fulham County,Religious beliefs clash with the law when an Amish infant is killed in a rural community.,"['thriller', 'crime', 'drama']"
The Ryan White Story,"The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.",['drama']
Dil,"Raja lives a poor lifestyle along with his dad, Hazariprasad and mom. He attends college where he has several run-ins with wealthy fellow-collegian, Madhu Mehra. Matters escalate to such an extent that she accuses him of sexually molesting her. When his dad comes to know, he decides to seize this chance to get rich quickly, masquerades as a wealthy businessman, approaches Mr. Mehra, and arranges for their children to get married. Murphy's law prevails at the time of the engagement - changing everyone's lives forever.","['drama', 'comedy', 'romance']"
Adam: His Song Continues,"Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.","['crime', 'drama']"
The George McKenna Story,"Washington plays a school principal in a tough inner city Los Angeles high school out to rid it of drugs, gangs, low moral of teachers, and restore educational values.",['drama']
In Defense of a Married Man,"When a defense lawyer's adulterous husband becomes the prime suspect in the murder of the woman he was cheating with, his wife chooses to defend him. Can she overcome his betrayal while searching for the truth?","['drama', 'crime']"
Bill Hicks: Sane Man,"Sane Man was filmed before Bill recorded ‘Dangerous’, his first comedy album, and is a turning point in Hicks’ career. It was the first complete Hicks show ever filmed and Bill pulled out all the stops for the cameras. Completely focused, a newly-sober Hicks paces the stage like a wild animal riffing effortless.",['comedy']
Mujrim,"The film follows the story of Shankar, who is regarded as a criminal by the society after being in jail for ten years since childhood.","['drama', 'action', 'crime']"
Aakhri Adaalat,Inspector Amar Kaushal attempts to incarcerate wrong-doers in his society only lead to frustration when they are let off by the incompetence of the law and his superiors and seniors. Eventually Amar stands accused of killing several criminals and innocents which prompts him to take law into his own hands.,"['action', 'crime', 'thriller']"
"Alexandria, Again and Forever","Set in 1987 against the backdrop of a hunger strike by the Egyptian film industry, Chahine himself steps in to play Yehia, the famed Egyptian director whose life is chronicled in ""Alexandria, Why?"" and ""An Egyptian Story"". Obsessed with Amr, the handsome actor he discovered and cast as his alter-ego in parts one and two of The Alexandria Trilogy, Yehia pressures Amr to star in various film projects that change even as Yehia's perception of the young actor begins to change. He first casts Amr as Hamlet, which the actor deems too demanding for his talents, then as the lead in a musical biopic of demigod Alexander the Great, who founded the city of Alexandria in 332 B.C.",['drama']
Duniya,"Mohan Kumar's diligence and honesty lands him in trouble with Balwant Singh Kalra, Jugal Kishore Ahuja, and Mr. Bhandari. Together the trio frame and imprison Mohan and make him watch helplessly as his wife is killed. Years later, Mohan Kumar is released from prison, his only goal in life is to avenge his humiliation and wrongful arrest at the hands of the trio. With the help of Dinesh Verma, he establishes himself again, and starts the process of bringing death and destruction to the trio. The trio are well aware of his presence, and decide to send one of their men, Ravi, to spy on him. Ravi falls in love with Verma's daughter, Roma, and decides to change sides to help Verma and Mohan, but Mohan will not have anything to do with Ravi, and asks him to leave. Ravi then becomes a target by the trio and their men, and has to save himself, and the only way he can redeem himself is by turning the tables over Mohan, who is none other than his own father.Duniya","['action', 'drama']"
Strange Voices,A family begins to fall apart when their eldest daughter is diagnosed with schizophrenia.,['drama']
Jaal,"Shankar's father leaves the family for Meenabai. He later learns that his father is dead. He sets out to find out Meenabai, who he thinks is behind his father's death.","['action', 'drama', 'thriller']"
Quiet Victory: The Charlie Wedemeyer Story,"Film that tells the story of Los Gatos (California) high school football coach Charlie Wedemeyer. At 31, onetime football pro Wedemeyer is living the American dream; a winning team, a happy marriage and public adulation.",['drama']
Muqaddar Ka Faisla,"Muqaddar ka Faisla, is the story of Pandit Krishna Kant. A poor, but extremely honest, upright, God-fearing man, who refuses to compromise on his principles.","['action', 'comedy', 'drama', 'family']"
Pyar Ke Do Pal,"In order to assist her close friend, Rajni Thakur, Geeta Choudhary, has an abortion in her name, so that Rajni can get married. When her secret gets leaked out, Geeta's husband, Ashok, blames her, accuses her of being unfaithful, and drives her out of his house. They have twins, Sunil and Anil, and each parent is allowed custody of one child. The children meet each other at Scout camp, and decide to re-unite their parents, without realizing that they are exposing not only them, but also each other, to danger and death.","['drama', 'action']"
Sohni Mahiwal,"Shahjada Ijjat Beg comes to India with his caravan and settles in a town in Gujrat. Here he falls in love with Sohani, who keeps a shop in metal pots. Ijjat Beg buys pot from her with whatever money he had and they were attracted to each other. Sohni dispensed with her servant and kept Ijjat Beg instead. This gave them more opportunity to meet. This was a scandal in the town and Sohni was perforce married to Rehaman who was slightly off his head. Sohni continued her meeting Ijjat Beg who went out fishing. When the atmosphere became to hot for them they jointly took a water grave for their love.","['romance', 'drama', 'action']"
Ek Jaan Hain Hum,"Coming from a decent upper middle-class family, Vikram Saxena meets with gorgeous Seema Singh, and both fall in love. But their respective families have other plans for them. While Vikram is able to convince his advocate dad, Shyam Sunder, to change his mind, Seema is unable to do so, and her marriage is being planned with a U.S. resident. Things take a turn for the worst when the police arrest Vikram with arson, with evidence that he had burned down a property belonging to Seema's dad, Colonel Ram Mohan Singh. Due to this, Vikram's dad comes forward to defend him, and Seema will not have anything to do with him anymore. Shyam Sunder realizes that the only way he can save his son from being imprisoned is to have him certified as insane, but will have to live with the consequences for the rest of his life, as well as the the stigma this will place on his family for years to come.","['family', 'romance']"
An Egyptian Story,"Acclaimed actor Nour El Cherif here plays Egyptian filmmaker Yehia Mourad some thirty years after we last see him in ""Alexandria, Why?""  Though successful in his work, Yehia has grown distant from his wife and children and suﬀers a symbolic blockage of the heart while shooting the final scenes of his latest film. After being flown to England for evaluation, it's determined that Yehia must undergo emergency surgery.  Fact and fiction blend seamlessly—with healthy doses of cleverly  absurdist fantasy—as the film explores the various personalities and forces that have made Yehia (and Youssef Chahine) the man he has become.","['drama', 'fantasy']"
The Little Wars,"Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped.","['war', 'drama', 'european']"
Unspeakable Acts,Two psychologist try to demonstrate that a man is a pedophile and has abused many children.,['drama']
Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.","['thriller', 'action']"
Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","['crime', 'thriller', 'drama']"
Boogie Nights,"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",['drama']
Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","['drama', 'romance']"
Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","['crime', 'comedy']"
The Talented Mr. Ripley,"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.","['thriller', 'drama', 'crime']"
Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.","['drama', 'romance']"
Starship Troopers,"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".","['scifi', 'action', 'thriller']"
Mission: Impossible II,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.","['thriller', 'action']"
Dumb and Dumber,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",['comedy']
Gattaca,"In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.","['scifi', 'thriller', 'romance', 'drama']"
Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.","['crime', 'drama', 'action', 'thriller', 'european']"
Natural Born Killers,Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,"['thriller', 'drama', 'crime', 'action']"
The Quick and the Dead,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.","['action', 'thriller', 'western', 'romance']"
You've Got Mail,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.","['comedy', 'romance', 'drama']"
Big Daddy,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.","['drama', 'comedy', 'european']"
Vampires,The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.,"['fantasy', 'action', 'horror', 'thriller']"
Donnie Brasco,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,"['drama', 'thriller', 'crime']"
A River Runs Through It,"A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.",['drama']
"Girl, Interrupted","Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.","['drama', 'european']"
Last Action Hero,"Following the death of his father, young Danny Madigan takes comfort in watching action movies featuring the indestructible Los Angeles cop Jack Slater. After being given a magic ticket by theater manager Nick, Danny is sucked into the screen and bonds with Slater. When evil fictional villain Benedict gets his hands on the ticket and enters the real world, Danny and Jack must follow and stop him.","['action', 'fantasy', 'comedy', 'family']"
My Girl,"Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...","['drama', 'family', 'romance', 'comedy', 'european']"
Wyatt Earp,"Covering the life and times of one of the West's most iconic heroes Wyatt Earp weaves an intricate tale of Earp and his friends and family. With a star studded cast, sweeping cinematography and authentic costumes Wyatt Earp led the way during the Western revival in the 90's.","['western', 'crime', 'action', 'drama']"
Eraser,"U.S. Marshall John Kruger erases the identities of people enrolled in the Witness Protection Program. His current assignment is to protect Lee Cullen, who's uncovered evidence that the weapons manufacturer she works for has been selling to terrorist groups. When Kruger discovers that there's a corrupt agent within the program, he must guard his own life while trying to protect Lee's.","['thriller', 'action', 'drama', 'crime']"
Neon Genesis Evangelion: The End of Evangelion,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.","['action', 'drama', 'animation', 'scifi', 'fantasy']"
Vegas Vacation,"The Griswold family hits the road again for a typically ill-fated vacation, this time to the glitzy mecca of slots and showgirls—Las Vegas.",['comedy']
In the Line of Fire,"Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.","['drama', 'thriller', 'crime', 'action']"
Little Women,"With their father away as a chaplain in the Civil War, Jo, Meg, Beth and Amy grow up with their mother in somewhat reduced circumstances. They are a close family who inevitably have their squabbles and tragedies. But the bond holds even when, later, male friends start to become a part of the household.","['drama', 'romance', 'family']"
U.S. Marshals,"U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.","['thriller', 'crime', 'action']"
Anaconda,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.","['horror', 'thriller', 'action']"
